USING TEXT CLASSIFICATION WITH A BAYESIAN CORRECTION FOR ESTIMATING OVERREPORTING IN THE CREDITOR REPORTING SYSTEM ON CLIMATE ADAPTATION FINANCE,Climate Change Adaptation,Climate Change Adaptation,Climate Finance (impact and thematic investments),Climate Finance (impact and thematic investments),2211.16947
Managing Large Dataset Gaps in Urban Air Quality Prediction: DCU-Insight-AQ at MediaEval 2022,Pollution,Pollution,Air Pollution,Air Pollution,2212.10273
"The paper addresses the challenge of predicting Air Quality Index (AQI) in urban areas, specifically in the context of large data gaps often present in sensor data. The authors propose methods for filling in these gaps using multimodal data, including weather and traffic images, and employing machine learning models to improve the prediction accuracy of AQI over several days. This approach is particularly relevant for situations where air quality sensors fail or data is sparse, which is a common issue in low-income areas.","The primary focus of the paper is on predicting and managing air quality, which falls under the Pollution category as it deals directly with air pollution prediction and data management.","Improving the quality of human life in smart cities is an important objective linked directly to several United Nations Sustainable Developmental Goals, such as climate action and life on land. Urban transportation and air pollution are two key factors affecting the quality of life. To our knowledge, no literature exists that aims to understand the correlation between traffic factors (e.g., time, vehicles, trees, people), weather (e.g., rain, snow, flood), and air pollution in traffic imagery data (e.g., CCTV, lifelog camera, personal camera).","The paper's main focus is on air quality prediction and managing data gaps, both of which are directly related to the subsection of Air Pollution under the Pollution category.","Improving the quality of human life in smart cities is an important objective linked directly to several United Nations Sustainable Developmental Goals, such as climate action and life on land. Urban transportation and air pollution are two key factors affecting the quality of life. To our knowledge, no literature exists that aims to understand the correlation between traffic factors (e.g., time, vehicles, trees, people), weather (e.g., rain, snow, flood), and air pollution in traffic imagery data (e.g., CCTV, lifelog camera, personal camera).",
,Climate Change Mitigation,Climate Change Mitigation,Climate Data,Transportation,
,"While the focus is on air pollution prediction, improving data management and prediction accuracy can indirectly contribute to climate change mitigation by enabling better air quality management.",,"The paper also touches upon issues related to data collection and management, which are pertinent to Climate Data, especially in underdeveloped regions.",,
Forecasting Sensor Values in Waste-To-Fuel Plants: a Case Study,Pollution,Pollution,Waste,Waste,2209.13957
"This research paper develops machine learning models to predict future sensor readings of a waste-to-fuel plant, enabling proactive control of the plant's operations. The study involves different modeling approaches to predict sensor values based on historical data from a real-world use case in Canada. The aim is to facilitate better optimization, control, and decision-making in waste-to-fuel production processes that convert organic waste into high-quality diesel.","The primary focus of the study is on waste-to-fuel conversion processes, optimizing these operations to manage waste more effectively while producing synthetic diesel from organic waste, addressing waste issues which align under Pollution.",,"The central theme revolves around using waste-to-fuel technology to manage waste, optimize processes, and produce biofuel, which fits within the Waste sub-category.",,
,Climate Change Mitigation,Climate Change Mitigation,Industry,Industry,
,The study supports climate change mitigation by focusing on waste-to-fuel processes which reduce emissions and reliance on fossil fuels.,,The application of machine learning in optimizing process control in the waste-to-fuel industry highlights its secondary focus on industrial process improvement.,,
Multi-Objective Optimization for Value-Sensitive and Sustainable Basket Recommendations,Pollution,Climate Change Mitigation,Waste,N/A,2111.05944
"The paper presents a multi-objective optimization framework aimed at generating value-sensitive and sustainable basket recommendations to minimize environmental and societal impact while respecting personal values. This is achieved by employing novel deep learning architectures alongside existing algorithms, tested on datasets with quantitative data on prices, nutrition, and environmental impact metrics.","The paper extensively addresses the reduction of environmental impact metrics like greenhouse gas emissions and water footprint in the context of consumer purchases, which aligns with pollution reduction efforts.",,"Within the context of pollution, the paper addresses minimizing pollution through optimized consumer purchases, contributing to waste reduction impacts.",,
,N/A,Climate Change Adaptation,N/A,N/A,
,"While the paper involves sustainability, it is specifically concentrated on consumer behavior and recommendations rather than covering multiple areas broadly.",,No other sub-categories fit precisely with the core focus of the paper. It concentrates mainly on sustainable purchasing impact on pollution metrics.,,
,,,,,
,,,,,
"Balancing Profit, Risk, and Sustainability for Portfolio Management",Sustainable Finance,Sustainable Finance,"Environmental, Social and Governance (ESG) and Disclosures","Environmental, Social and Governance (ESG) and Disclosures",2207.02134
"The paper explores stock portfolio optimization using reinforcement learning, focusing on a novel utility function that considers profit, risk, and sustainability. The paper introduces a system that evaluates financial returns, risk (through the Sharpe ratio), and sustainability (through ESG scores) in portfolio management.","The paper primarily deals with financial strategies through portfolio optimization, focusing on ESG, which aligns with sustainable finance.",,The paper emphasizes ESG scores as a measure of sustainability within the portfolio optimization process.,,
,N/A,N/A,N/A,N/A,
,The paper focuses primarily on financial strategies related to sustainability rather than any direct environmental application.,,No other sub-categories beyond ESG and Sustainable Finance are directly addressed in this paper.,,
